City,Visitor Visa,Student/Exchange Visitor Visas,All Other Nonimmigrant Visas
N Djamena,45,45,45
Abuja,850,150,35
Abidjan,7,7,21
Abu Dhabi,365,365,185
Accra,398,398,30
Adana,,,
Addis Ababa,544,7,35
Amman,385,34,2
Auckland,191,15,191
Amsterdam,516,1,7
Baghdad,,,
Algiers,201,3,51
Baku,75,2,10
Almaty,204,7,14
Antananarivo,7,7,7
Apia,120,30,120
Bamako,35,7,35
Asmara,21,21,21
Asuncion,553,14,1
Bandar Seri Begawan,7,7,7
Athens,535,7,30
Ankara,,,
Bangkok,4,1,1
Banjul,75,75,60
Ashgabat,14,14,14
Beijing,2,2,3
Beirut,253,7,97
Belgrade,150,12,12
Barcelona,,,
Berlin,62,20,20
Belfast,60,30,30
Bern,200,35,78
Bishkek,128,49,49
Bogota,857,35,16
Belmopan,99,7,53
Bratislava,36,17,22
Brazzaville,90,14,90
Bridgetown,72,1,1
Brasilia,308,2,2
Bucharest,81,2,3
Buenos Aires,590,3,3
Brussels,32,32,32
Bujumbura,21,21,21
Cairo,399,5,5
Budapest,215,30,35
Calgary,405,7,176
Caracas,,,
Casablanca,100,5,100
Chengdu,,,
Cape Town,175,36,56
Chennai ( Madras),617,450,403
Chiang Mai,4,7,7
Ciudad Juarez,645,1,1
Chisinau,98,7,7
Copenhagen,71,10,16
Cotonou,140,140,140
Curacao,28,7,28
Colombo,100,4,100
Conakry,80,80,80
Damascus,,,
Dar Es Salaam,122,61,122
Dhahran,239,24,23
Dhaka,519,174,45
Dakar,336,25,336
Djibouti,180,180,180
Doha,177,7,6
Dubai,347,118,215
Dili,1,1,1
Durban,169,24,66
Dushanbe,45,45,45
Erbil,250,246,246
Dublin,34,3,3
Florence,120,24,58
Freetown,132,132,132
Fukuoka,30,21,21
Gaborone,30,30,30
Frankfurt,24,23,23
Guadalajara,785,7,1
Guangzhou,28,5,28
Guatemala City,371,1,1
Georgetown,34,1,1
Guayaquil,458,128,14
Hamilton,120,15,60
Hanoi,6,6,31
Harare,107,107,107
Halifax,361,9,72
Helsinki,262,7,96
Hermosillo,569,3,7
Ho Chi Minh City,19,6,9
Havana,,,
Hong Kong,2,2,3
Islamabad,444,3,8
Istanbul,164,115,113
Jakarta,44,2,10
Hyderabad,738,444,57
Jeddah,168,1,2
Johannesburg,240,60,210
Juba,,,
Kabul,,,
Jerusalem,259,29,1
Kampala,180,30,180
Kaohsiung,,,
Kathmandu,412,106,7
Khartoum,,,
Kigali,87,16,10
Karachi,211,12,12
Kingston,498,3,1
Kinshasa,731,5,731
Kolonia,1,1,1
Koror,1,1,1
Krakow,10,10,10
Kolkata,736,50,233
Kuala Lumpur,77,44,15
Kuwait,14,3,3
La Paz,90,1,1
Lagos,605,262,1
Lahore,,,
Kyiv,,,
Libreville,240,7,30
Lilongwe,181,10,10
Lima,,,
Ljubljana,7,7,7
Lome,120,120,120
London,190,15,80
Lisbon,90,29,16
Luanda,26,4,2
Lusaka,72,2,72
Luxembourg,86,9,25
Madrid,349,65,207
Majuro,,,
Malabo,140,90,90
Managua,190,1,40
Manama,34,2,2
Maputo,3,3,3
Marseille,,,
Maseru,,,
Matamoros,519,1,1
Manila,451,11,16
Mbabane,50,3,50
Melbourne,680,2,15
Merida,659,3,3
Mexico City,630,1,31
Milan,282,3,23
Monrovia,365,30,30
Monterrey,554,1,1
Montevideo,479,3,3
Montreal,,,
Minsk,,,
Moscow,,,
Mumbai (Bombay),752,444,312
Munich,46,13,46
Muscat,20,20,20
N`Djamena,45,45,45
Nairobi,658,421,199
Naples,32,31,31
Nassau,108,7,108
Naha,25,4,25
New Delhi,758,444,354
Niamey,,,
Nicosia,21,21,21
Nogales,693,1,8
Nuevo Laredo,518,1,8
Nouakchott,7,7,7
Osaka-Kobe,10,3,3
Oslo,85,2,71
Ottawa,450,30,60
Nur-Sultan,106,6,21
Ouagadougou,231,230,7
Panama City,766,5,5
Paramaribo,45,2,2
Paris,520,8,220
Perth,37,37,37
Phnom Penh,7,7,7
Port Au Prince,365,1,7
Port Louis,34,34,34
Port Moresby,1,1,1
Podgorica,42,7,7
Port Of Spain,339,17,17
Porto Alegre,203,8,12
Prague,180,65,30
Praia,281,7,7
Pristina,216,9,216
Quebec,450,7,66
Rangoon,,,
Recife,329,2,2
Quito,456,30,15
Riga,1,1,1
Rio De Janeiro,430,3,3
Sanaa,,,
Santiago,598,11,15
San Salvador,310,2,2
Sao Paulo,483,1,3
Santo Domingo,600,30,20
Riyadh,197,1,197
Reykjavik,60,60,60
San Jose,262,1,1
Rome,170,4,10
Shanghai,10,2,2
Sapporo,15,15,15
Shenyang,2,2,2
Skopje,17,17,17
Sarajevo,10,3,3
St Petersburg,,,
Seoul,28,28,17
Sofia,56,20,23
Surabaya,49,7,25
St Georges,,,
Suva,6,2,3
Sydney,128,35,45
Stockholm,325,21,29
Singapore,37,2,3
Taipei,52,46,52
Tallinn,3,3,3
Tbilisi,51,2,9
Tegucigalpa,30,1,1
Tel Aviv,161,1,2
Tashkent,120,7,40
Tijuana,569,1,1
Tirana,298,14,14
Tokyo,2,2,2
Toronto,419,21,176
Tijuana Tpf,569,1,1
Tripoli,,,
Tunis,150,14,14
Ulaanbaatar,416,10,8
Usun-New York,7,7,7
Valletta,30,15,30
Vancouver,413,3,187
Vientiane,18,6,6
Vilnius,2,2,2
Vladivostok,,,
Vienna,119,31,40
Warsaw,8,2,2
Windhoek,75,14,75
